order_id,customer_id,amount,status,ordered_at,is_priority
ORD-1001,CUST-21,129.99,paid,2026-08-01,true
ORD-1002,CUST-22,45.50,shipped,2026-08-02,false
ORD-1003,CUST-23,-25.00,paid,2026-08-03,false
ORD-1004,,89.00,pending,2026-08-04,true
ORD-1002,CUST-25,245.00,shipped,2026-08-05,false
ORD-1006,CUST-26,120.00,refunded,2026-02-30,false
ORD-1007,CUST-27,free,paid,2026-08-07,true
ORD-1008,CUST-28,9999.00,pending,2026-08-08,false
ORD-1009,CUST-29,310.75,shipped,2026-08-09,yes
ORD-1010,CUST-30,72.00,cancelled,2026-08-10,false
ORD-1011,CUST-31,415.25,paid,2026-08-11,true
ORD-1012,CUST-32,64.00,pending,2026-08-12,false
